id,comment,toxic,severe_toxic,obscene,threat,insult,identity_hate
doa17ue,"It's necessary. Period.Women will seek them out anyway, whether they are legal or not. Illegal abortions are dangerous and lead to sterility and death.Without legal, safe abortions, women WILL die.",0.05452045087853833,0.004007730480680234,0.009027073444316016,0.011202066881881745,0.015917419164951634,0.0017276193383913892
doa1hmq,That's completely true.,0.02213858080524815,0.003636576488444357,0.00986224775412321,0.0026626261229982418,0.012211432808760971,0.0029794215288128575
doa21v6,"> It's necessary. Period.Shouldn't that be, It's necessary when there is no period? :p",0.026027955990209562,0.0026877882222099843,0.007504947837915208,0.0019497929510262336,0.008456362979906935,0.0021230040706883453
doa2z9c,"This is the correct answer. Thread closed, thank you all.",0.020568389596922153,0.003057064623733522,0.008846482327230959,0.0023361598852943448,0.008863741878823765,0.0030614607276488715
doa5bn5,So because people will do things anyways we shouldnt make it illegal? Poaching elephants is dangerous but we shouldnt make legal because people still do it.,0.0325258080650434,0.002949293570695581,0.009296530038016238,0.0020662925618331975,0.01251128972933035,0.0023240459094555303
dofcsg6,"When a society holds that a particular course of action is wrong because it unjustifiably violates the rights of others, it must make such an action illegal. Assault is illegal, as is theft, and any number of other violations of other human beings' rights. This principle is usually so obvious that we hardly give it a moment's thought. You can't just hit people for no reason. Or take their stuff.But the illegality of assault and theft doesn't, in fact, stop those things from occurring.They happen anyway, although they are illegal. We don't argue that because people continue to commit such actions, we should just make them legal and not worry about the morality involved.No one calls for publicly-funded assault centers where angry and violent people can beat up victims in a controlled setting. Anyone who argued for such a thing would be rightly viewed as crazy.And if they responded by saying that ""assaults are going to happen anyway,"""" we would instantly recognize that the point has been missed.",0.039758965488331806,0.0018640707484626185,0.006988273802386137,0.0004988336581670874,0.00922431019254322,0.0017158842791803071
dofeubl,>No one calls for publicly-funded assault centers where angry and violent people can beat up victims in a controlled setting. Anyone who argued for such a thing would be rightly viewed as crazyBoxing and MMA,0.039870316385989646,0.003358476895045809,0.009007879336577308,0.0014360253763563357,0.01655615883825046,0.0026073477288323507
doff4t3,That's pretty far off what I was getting at. They aren't publicly funded regardless.,0.03549196830440244,0.0039142584723469665,0.01519413558737825,0.001617797086921206,0.013843104906682502,0.0026813442512293273
doff9w8,"No, we just sell tickets to them, and they get product sponsers.Edit: oh, and in the U.S. no federal funds can be used for abortions.",0.04303674760622142,0.002332170671407445,0.008661067409161493,0.001773483778677644,0.012670800740182665,0.004916875338192111
doffuqn,"Oh of course.Prorated salaries, same facilities, same staff, same waiting rooms and counselors, and we are supposed to believe that tax dollars are not used to facilitate abortion? Give me a break.But that's a debate for another thread.",0.031194797339833234,0.0025696638511314884,0.006340790514371769,0.0013949535081512969,0.007931054060866563,0.0018772521355079493
dofgh62,"You can look up planned parenthood's tax records, they're a matter of public record.If you have proof they're are using federal funds for abortions, then you need to report them. That's illegal.",0.0260123682148778,0.006623427342655645,0.01688870853743587,0.0010665444160674904,0.018532126414931467,0.002471660994961528
doa20ls,"Only problem I have with abortions is when the baby is literally alive in the mothers stomach. Once the baby is a living human being I don't see how anyone could possibly see it as ok to kill that baby.My definition of living is when the baby is kicking, has all it's limbs and body parts, it has a brain, it has all the characteristics of a human baby except it is in the womb. Killing that baby is wrong.I want this line to be drawn before I support abortions, otherwise we will have people trying to legalize these ridiculously late term abortions which are completely fucking disgusting and put a stain on our society.",0.13272262172108373,0.0020952254809831292,0.037704940381208835,0.0018169406684655088,0.05410348447119135,0.004713658663536449
doa26e1,"Women will seek them out anyway, which will result in 2 deaths, instead of 1.Legally, should a line be drawn? Sure, I guess? ¯\\\_(ツ)\_/¯But that line should be drawn by **DOCTORS**, not politicians.",0.086497408828728,0.002017653510791615,0.012559160171093564,0.0014681585559993965,0.009774497173956852,0.0019259085172848276
doa2e9z,"Heroin is illegal, people seek it out, and people die from it as a result.If a woman seeks out an abortion with a few weeks to go in her pregnancy and she dies as a result, I'm sorry but you died trying to kill a living baby, your own baby. Not saying I would want a woman to die, but the whole thing could be avoided if she didn't wait until the last second to get an abortion. It's irresponsible and immoral to wait that long and have to kill a living baby.",0.21077289620633247,0.0030567982430876805,0.022267811698725746,0.020321073131706578,0.02836038838242385,0.004745911955837783
doa2m3p,">Heroin is illegal, people seek it out, and people die from it as a result.That's not a good thing...>If a woman seeks out an abortion with a few weeks to go in her pregnancy and she dies as a result, I'm sorry but you died trying to kill a living baby, your own baby. Not saying I would want a woman to die,That's exactly what you just said.> but the whole thing could be avoided if she didn't wait until the last second to get an abortion. Or if she had a proper doctor perform the procedure. >It's irresponsible Yes it is.>and immoralI do not make any moral argument in my stance one way or the other. The morality of abortion is irrelevant to me.It is a necessary, practical procedure.",0.11431553198671009,0.0021426759992512283,0.015615964042681037,0.00597903589852352,0.019854860214706904,0.002665501578499237
doa46k1,"Meh, if the baby can't survive without the mother, it is a part of the mother and at the mother's mercy",0.15354549451176783,0.04955399602189885,0.07595972060882199,0.0012584180153782272,0.0661294856400026,0.0017815905690058498
doa73re,"You can make that line for yourself.You shouldn't get to make it for anyone else. Your moral standing on when abortions are acceptable in yours, and shouldn't impact any other person.There are also many reasons why late term abortion is needed. Health of the mother, deformities that cannot be picked up earlier etc. They're not a stain on society. They are a medical procedure that people have because they have decided they need it.",0.05046692682333798,0.00388971377197598,0.017388215713843455,0.001024014081990312,0.024325423114798184,0.001518659057968861
doa4g7f,And so will babies if abortion is legalize,0.02389657258112259,0.005376039945043686,0.011837309850978287,0.0034521739775847174,0.014029467094631503,0.003349621617315114
doa4hpg,"1 dead body, or 2.Which would you rather have?",0.0506357565275665,0.0022684619113959156,0.009761851507758075,0.0024645512726127385,0.010227100496989966,0.002981554549139455
doa5gg1,On the net less dead bodies so no abortion just because you don't like responsibility,0.15526748837169133,0.002112052868584087,0.055148050383433546,0.0017270587216674175,0.037047449326839434,0.0021039268158157417
doa6n21,"Okay, so, ignore the facts. Got it.",0.017891792973961516,0.003551740589476278,0.008137511940690982,0.0029250255376994864,0.007669375270245429,0.0029263466004763625
doa73yl,You assume that the amount of abortion will be the same when its legal vs illegal. It will drop drastically if it is illegal. Those less abortions and less dead bodies. What fact am I ignoring?,0.030801365286036712,0.002846285104344353,0.00947324481808882,0.0018960800157984158,0.00829767492465494,0.0024363074678419878
doa76oi,Also:More dead women.More neglected and abused children. More poverty.,0.13840312701455346,0.002909108163086909,0.012645787138404214,0.00413848185120267,0.010922338191485588,0.00418700230934776
doa7anm,Less dead women. Since like half the aborted childern are women.So better dead than shitty childhood?,0.11256626934124968,0.0027785704053935496,0.013320181684415698,0.0024702593614803685,0.013577603631262676,0.0026715032980507746
